Island.Name,Island Group,Species Diversity,Single Island Endemics,Island-group Endemics,Present Day Area (m2),Average Area (m2),Distance to Mainland (km2),Max Elevation (m2),Isolation_10KM,Isolation_50KM,Isolation_100KM,Isolation_200KM,Isolation Time,Longitude,Latitude
Enggano,West Sumatran,34,5,0,197674126,1103985657.65417,113383.4302,164,0,0,0,13.1871072,0,102.2571286,-5.357394477
Tuangku,West Sumatran,49,0,0,216710266,844362301.590909,43595.89901,536,1.335145348,1.869901053,18.13883771,32.23440468,43.65,97.25627325,2.149758683
Simeulue,West Sumatran,67,3,0,1743744386,3260122222.25,115095.9132,304,1.119486471,0.508938442,0.703795921,17.55323451,0,96.08070639,2.63077534
North Pagai,West Sumatran,35,0,3,609047519,6641274811.54167,87264.60524,278,6.440812692,8.349877018,4.788182911,20.28372293,0,100.0844361,-2.687125713
South Pagai,West Sumatran,36,0,3,869714466,6641274811.54167,85215.52285,264,9.163866671,4.125331898,4.440230699,19.32893559,0,100.327159,-3.046911195
Sipora,West Sumatran,53,0,2,598047368,6117147857.05417,109258.4636,13,1.370388574,4.170903695,7.178717818,18.46628499,0,99.68303841,-2.20702036
Tana Bala,West Sumatran,20,0,0,448560635,1494341864.84286,94568.0695,82,11.98236684,4.607297167,6.38936704,17.68057085,49.38,98.42054218,-0.425700712
Pini,West Sumatran,30,0,0,321928933,1047558154.92857,34962.65729,150,0.105910901,6.262362804,16.32415415,32.42418704,49.38,98.68887865,0.126042273
Tana Massa,West Sumatran,51,0,0,333368466,1464599435.57143,83530.59878,49,13.93428611,6.412189962,6.733024053,21.29353091,49.38,98.44242033,-0.175543467
Tello,West Sumatran,38,0,0,11116239,1219276034.19429,100623.7599,340,16.03473535,11.3145414,4.837499144,19.27456944,49.38,98.27687788,-0.061922723
Siberut,West Sumatran,80,0,3,3839387272,8189833393.375,121243.8139,791,0.767347656,0.506944959,2.285763522,15.14543574,1,98.93932733,-1.367197948
Nias,West Sumatran,103,4,0,4117253552,6276015010.625,88363.81245,4,0.162836627,0.113924169,1.51801701,20.62333223,0,97.54559854,1.052715661
