subset_name,rho,K,residual,theta_est,m_est,A_crit_est
riau_only,2115,11,12684.70676228981,10.044989165438983,0.008712942235993153,0.22664601549263508
riau_only,2115,12,14768.889738119931,7.381984081851718,0.13488736114841648,0.04560578147025148
riau_only,2115,13,15073.63934258849,7.2952393881669595,0.13419267262884446,0.05475514097709484
riau_only,2115,14,15395.886915917094,7.214515460546577,0.13209013916049098,0.06601727649052251
riau_only,1259,1,12560.14215528632,9.523681402489085,0.06417874482854631,0.00444695282758879
riau_only,1259,2,12516.507897448315,9.588873500583551,0.05539053253219034,0.010411157060332054
riau_only,1259,3,12473.632953487262,9.653680299249237,0.047846841717088424,0.018295256160104287
riau_only,1259,4,12438.112070830297,9.717440776804086,0.04139328338241057,0.028584546434017394
riau_only,1259,5,12414.714779133006,9.780387193516706,0.03585528845216234,0.04188380668845627
riau_only,1259,6,12407.025443667051,9.84170018285593,0.031121141760626407,0.058900024456244864
riau_only,1259,7,13061.514790078128,8.348716525391671,0.14670006098786317,0.0263816072562803
riau_only,1259,8,13359.404734331543,8.130155020478641,0.17820806863490535,0.02892089413073125
riau_only,1259,9,15466.463873688459,7.2163678288617294,0.7341749991572813,0.016659120596398264
riau_only,1259,10,12586.014281787666,10.036518430620765,0.018544875023026108,0.18075418510476743
riau_only,1259,11,12693.90887904141,10.067025806060837,0.0165537607090536,0.22960526878633586
riau_only,1259,12,13967.794269929462,8.01257681588727,0.12978840254875404,0.07254124162769462
riau_only,1259,13,14197.152843406457,7.96811452104925,0.12160649179965952,0.08920936523183763
riau_only,1259,14,14458.532219869954,7.918834228624807,0.1143978188277791,0.109120773157231
survey_only,2115,1,2350.9689339672423,7.2025504197932,0.05868840598530832,0.0028690392478779234
survey_only,2115,2,2321.371240686581,7.339728965833255,0.04535151643639007,0.007397087701522432
survey_only,2115,3,2289.7119161095748,7.511281578079628,0.03405058303552884,0.014633460413138108
survey_only,2115,4,2259.8318987239772,7.730105518428661,0.024684931027439034,0.026440919979578086
survey_only,2115,5,2233.9683423489755,8.052072015633863,0.01660638737406084,0.04735194694615479
survey_only,2115,6,2210.937184762429,8.67267014353403,0.009158664471620094,0.0942784867536982
survey_only,2115,7,2186.978582165631,9.655022482422462,0.004382231192386394,0.20336400406990945
survey_only,2115,8,2173.184697009282,10.331605216065494,0.0027895439230230037,0.3471006201224289
survey_only,2115,9,2180.662742209788,10.862136947236237,0.00200067413527665,0.5318258334556365
survey_only,2115,10,3102.1988808715046,5.4951937529937975,0.15763055989144123,0.038857833137318123
survey_only,2115,11,3280.7852061642225,5.376904750580471,0.15831669053580377,0.04938949609002772
survey_only,2115,12,3495.117275257935,5.24327569386986,0.16232007746024713,0.06235494230187355
survey_only,2115,13,3736.676090689943,5.109233872294764,0.1660069798182065,0.07931444537696475
survey_only,2115,14,3956.7433642840347,5.0319656380959765,0.15496566568192438,0.10544839423339686
survey_only,1259,1,2354.4019652043276,7.1933595166982816,0.12641461255856137,0.0028472731487676
survey_only,1259,2,2325.5715335152126,7.309258961261877,0.09836635223943531,0.007221834090269774
survey_only,1259,3,2294.136772119651,7.466035033193529,0.07361884754387202,0.01414549762179815
survey_only,1259,4,2264.8992665415985,7.679544204898258,0.052544796356398235,0.025516426435080848
survey_only,1259,5,2240.2325328860375,7.998203625420106,0.034621054363399524,0.04574392833577404
survey_only,1259,6,2441.7921802336464,6.431818254332907,0.17916848730364007,0.0209863508373762
survey_only,1259,7,7168.069895439904,8.935776034019913,0.48223820014343416,0.012421638588280041
survey_only,1259,8,2631.110282156694,6.191773083538108,0.1889739706377081,0.03344605611979512
survey_only,1259,9,3955.1620815276224,6.42479315220731,0.3087332660954143,0.029735097188443773
survey_only,1259,10,4366.985051977489,6.481392100683043,0.2909051383231897,0.03737916982053449
survey_only,1259,11,4905.205526624507,6.604327778287276,0.2724015318212209,0.0462071139598578
survey_only,1259,12,5591.382651626374,6.7980376877969455,0.25446795411177064,0.055978335383426725
survey_only,1259,13,6444.04377724458,7.056267444342493,0.2377990933241829,0.06642803013012398
survey_only,1259,14,7477.226782164482,7.368065746530723,0.22263234622468311,0.07735245338163395
